region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Africa,Angola,38.8168560929,0.125,1408.3333333333333,17.205833333333334,21450.28308333334,0.125,0.125,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.2916666666666667,0.0,0.16666666666666666,0.2916666666666667,0.5,0.08333333333333333,0.041666666666666664,1.0,0.25,0.2916666666666667
Africa,Benin,46.8189184959,0.1016949152542373,3053.6101694915255,89.00915254237296,10036.686118644067,0.06779661016949153,0.0,0.01694915254237288,0.9322033898305084,0.01694915254237288,0.01694915254237288,0.0,0.06779661016949153,0.06779661016949153,0.05084745762711865,0.6101694915254238,0.3559322033898305,0.01694915254237288,0.01694915254237288,1.1016949152542372,0.06779661016949153,0.0847457627118644
Africa,Botswana,57.0935725709,0.34375,2123.4375,3.131375,1774.7693125000008,0.25,0.0,0.03125,0.75,0.0625,0.125,0.03125,0.125,0.15625,0.0625,0.25,0.5625,0.03125,0.0,1.34375,0.0625,0.09375
Africa,Burkina Faso,44.8240979062,0.43283582089552236,1792.9850746268658,55.34020895522385,15141.060462686572,0.19402985074626866,0.0,0.07462686567164178,0.6119402985074627,0.2537313432835821,0.07462686567164178,0.0,0.1791044776119403,0.23880597014925373,0.014925373134328358,0.43283582089552236,0.43283582089552236,0.07462686567164178,0.11940298507462686,1.2388059701492538,0.11940298507462686,0.208955223880597
Africa,Burundi,37.3046009336,0.35714285714285715,1136.6326530612246,328.71938775510176,8441.513387755096,0.02040816326530612,0.02040816326530612,0.07142857142857142,0.8775510204081632,0.0,0.5102040816326531,0.061224489795918366,0.1836734693877551,0.04081632653061224,0.05102040816326531,0.5918367346938775,0.3163265306122449,0.09183673469387756,0.14285714285714285,1.2653061224489797,0.21428571428571427,0.2857142857142857
Africa,Cameroon,41.4467344254,0.4067796610169492,1899.5084745762713,38.1009152542373,18010.698423728816,0.06779661016949153,0.0,0.1016949152542373,0.8305084745762712,0.03389830508474576,0.1016949152542373,0.1016949152542373,0.3559322033898305,0.05084745762711865,0.1694915254237288,0.5932203389830508,0.22033898305084745,0.15254237288135594,0.11864406779661017,1.152542372881356,0.288135593220339,0.4406779661016949
Africa,Cape Verde,58.1712068974,0.5,500.0,114.897,463.034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0
Africa,Central African Republic,31.3620761016,0.39344262295081966,2463.5409836065573,6.189278688524589,3855.810885245903,0.3770491803278688,0.0,0.18032786885245902,0.4426229508196721,0.0,0.13114754098360656,0.03278688524590164,0.13114754098360656,0.08196721311475409,0.04918032786885246,0.4262295081967213,0.39344262295081966,0.13114754098360656,0.32786885245901637,1.180327868852459,0.36065573770491804,0.5081967213114754
Africa,Chad,32.5086334179,0.5882352941176471,1244.1176470588234,8.508823529411764,10714.444235294117,0.23529411764705882,0.0,0.0,0.8823529411764706,0.0,0.058823529411764705,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.058823529411764705,0.29411764705882354,0.4117647058823529,1.0,0.4117647058823529,0.7647058823529411
Africa,Comoros,46.3274173614,0.6329113924050633,420.37974683544303,352.81644303797435,656.5916708860761,0.11392405063291139,0.0,0.0379746835443038,0.8481012658227848,0.0759493670886076,0.35443037974683544,0.0,0.24050632911392406,0.06329113924050633,0.05063291139240506,0.6582278481012658,0.25316455696202533,0.05063291139240506,0.189873417721519,1.2025316455696202,0.21518987341772153,0.2911392405063291
Africa,Congo Brazzaville,41.2141589629,0.6,495.7142857142857,9.861114285714288,3367.558171428571,0.22857142857142856,0.0,0.0,0.7714285714285715,0.0,0.2,0.0,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.4857142857142857,0.3142857142857143,0.11428571428571428,0.2,1.1714285714285715,0.22857142857142856,0.34285714285714286
Africa,Congo Kinshasa,34.5532343641,0.43037974683544306,661.3924050632911,27.22791139240506,61727.11882278483,0.06329113924050633,0.0,0.05063291139240506,0.810126582278481,0.012658227848101266,0.11392405063291139,0.012658227848101266,0.27848101265822783,0.05063291139240506,0.0759493670886076,0.5189873417721519,0.2911392405063291,0.2911392405063291,0.3037974683544304,1.1012658227848102,0.4050632911392405,0.6708860759493671
Africa,Djibouti,48.1568244388,0.6,455.0,31.387400000000003,727.5575000000001,0.1,0.1,0.0,0.5,0.1,0.1,0.2,0.5,0.0,0.2,0.7,0.1,0.4,0.3,1.2,0.7,0.9
Africa,Equatorial Guinea,45.7714361484,0.0,152.5,23.106,648.1244999999999,0.25,0.0,0.0,0.75,0.0,0.25,0.0,0.5,0.0,0.25,0.25,0.5,0.25,0.0,1.0,0.25,0.5
Africa,Eritrea,34.940456034600004,0.3333333333333333,183.33333333333334,29.930999999999997,3023.0226666666663,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,0.0
Africa,Ethiopia,41.8055706826,0.525,14123.75,86.11237499999997,86112.51862500001,0.0,0.25,0.05,0.8,0.05,0.05,0.025,0.25,0.175,0.15,0.25,0.3,0.4,0.175,1.325,0.475,0.725
