region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
Africa,Tanzania,48.5737199379,15.0,110850,1680.396999999999,1488495.058,6,2,3,25,1,3,4,14,2,3,19,12,6,8,40,10,17
Africa,Togo,44.029638664,44.0,150150,10154.108000000002,552282.2950000002,8,0,3,82,2,15,2,8,4,8,56,36,7,9,112,17,24
Africa,Uganda,45.6698739721,33.0,24850,10032.686000000002,2004631.72,3,2,10,34,15,8,4,24,4,7,38,21,11,22,149,28,40
Africa,Zambia,47.5096842138,39.0,75625,1545.0759999999984,1148587.6709999996,19,1,8,57,8,4,4,29,10,6,41,37,6,8,120,14,20
Africa,Zimbabwe,42.9775872341,40.0,94300,3747.689000000001,1449797.6179999993,19,2,14,65,17,19,2,29,11,31,60,40,5,8,152,37,44
Asia,Afghanistan,34.350054846,8.0,78820,1942.7349999999988,1268334.2650000004,0,2,10,27,0,4,3,2,3,0,6,26,2,5,44,5,7
Asia,Bangladesh,46.9140241116,168.0,8318810,357089.302000001,46482315.21699986,19,6,52,212,15,59,10,93,25,48,203,87,37,25,475,85,110
Asia,Cambodia,48.548973877799995,13.0,140800,4148.102999999999,732224.6040000006,14,6,2,26,2,5,0,5,2,7,23,26,7,9,120,15,23
Asia,China,61.4917360946,116.0,7649510,46481.939000000006,436381790.5929971,27,34,71,222,9,45,25,83,52,42,122,114,17,20,892,69,79
Asia,India,53.640352837799995,111.0,9081420,92105.55999999995,273847348.54,5,20,26,141,13,3,48,23,34,12,71,91,46,28,1423,64,86
Asia,Indonesia,61.1039055041,53.0,3124750,18781.91399999999,34024793.31899999,12,6,16,80,24,14,15,3,17,4,59,65,13,4,282,20,21
Asia,Japan,77.27416589180001,4.0,882130,20599.437000000005,7509625.789000007,6,10,2,36,6,5,1,3,13,0,3,43,0,0,75,0,0
Asia,Kazakhstan,60.573860455,7.0,119025,522.1289999999997,1409568.289,31,5,13,22,8,7,7,17,12,2,9,56,4,1,444,5,7
Asia,Kyrgyzstan,55.993223201599996,37.0,135919,4614.416999999993,885042.5530000016,7,8,10,141,5,12,1,21,15,2,20,113,2,4,342,7,8
Asia,Laos,49.9198811731,0.0,250,45.749,10559.04,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0
Asia,Malaysia,67.49132725449999,12.0,636225,12021.026000000014,3949506.7759999917,6,7,37,75,17,11,6,43,7,8,46,85,1,0,241,8,9
Asia,Mongolia,56.733171175,4.0,117900,79.52799999999998,123551.85200000009,5,7,0,36,4,15,0,1,9,0,8,35,0,0,63,0,0
Asia,Myanmar,46.7792974983,7.0,225162,6155.373000000004,4021245.859,1,8,6,53,15,1,2,14,4,4,11,50,3,4,238,9,11
Asia,Nepal,50.4483358507,72.0,1210504,34955.77200000008,5010910.119999993,9,9,25,142,21,41,15,64,26,17,69,72,20,29,854,48,66
Asia,North Korea,44.35169031571533,4.0,30700,1467.783,176735.81,1,0,0,5,2,0,0,3,1,0,1,1,2,0,12,2,2
Asia,Pakistan,44.2519235971,74.0,2797500,38426.22499999997,29622010.928999994,1,0,7,136,4,21,24,12,27,10,50,82,9,14,493,29,33
Asia,Philippines,56.9007242872,7.0,1844750,18693.408999999992,5573814.8510000035,3,0,2,37,6,20,3,1,10,0,12,44,1,1,218,1,2
Asia,Singapore,79.5124080413,2.0,13660,117426.553,82198.58700000001,5,0,1,7,6,1,2,3,1,0,2,11,0,0,15,0,0
Asia,South Korea,73.4386051236,113.0,7099597,166805.8529999998,16218536.482999975,69,9,34,229,1,6,3,53,29,86,90,208,0,0,692,86,86
Asia,Sri Lanka,56.88180736050001,16.0,462000,23542.605000000014,1476357.0040000007,7,3,7,60,1,3,3,2,7,0,27,40,1,4,129,4,5
Asia,Taiwan,77.1496171924,29.0,7280320,89728.28600000008,3177278.672999996,13,9,7,92,7,16,5,5,11,9,32,103,0,0,334,9,9
Asia,Tajikistan,51.2618277205,5.0,32370,1517.9410000000005,212451.697,0,0,5,18,10,1,0,1,11,1,2,19,2,2,73,4,5
Asia,Thailand,60.4111060399,31.0,2739443,32642.497999999963,16676714.603999991,35,36,12,114,5,67,12,11,43,1,42,171,3,1,1226,5,5
Asia,Timor Leste,61.1039055041,5.0,5000,849.593,12633.43,1,0,2,7,0,2,0,5,4,0,4,6,1,2,26,2,3
Asia,Turkmenistan,51.6387126416,1.0,1400,42.099,19784.006,0,1,1,2,0,0,0,0,1,0,2,2,0,0,7,0,0
Asia,Uzbekistan,54.367116815,7.0,45250,2124.155,903613.4720000003,2,1,6,12,7,1,6,5,8,1,10,16,4,4,61,6,9
Asia,Vietnam,58.276343837700004,10.0,11525,4854.156,1505127.799,2,9,1,6,2,2,4,7,7,2,10,2,0,0,479,2,2
Central America,Costa Rica,68.3373819368,10.0,433300,2862.7320000000004,146171.26800000007,10,3,0,22,15,0,1,5,6,2,13,20,0,0,114,2,2
Central America,El Salvador,54.99037413640001,15.0,50880,13575.808999999996,281290.6699999999,10,1,1,35,2,0,0,2,2,1,16,28,3,4,81,5,8
Central America,Guatemala,53.5796446961,27.0,216980,13937.975000000019,1493593.3470000012,15,4,4,67,25,26,0,5,5,1,13,88,3,5,200,6,9
Central America,Honduras,52.2130414601,23.0,640410,7676.907,858970.7439999996,15,8,1,88,10,26,1,5,10,4,40,63,4,7,171,11,15
Central America,Nicaragua,51.38097409069999,40.0,863914,4015.9479999999962,483280.02999999974,9,5,3,64,17,22,0,18,7,3,35,47,9,19,471,23,31
Central America,Panama,63.8910621337,21.0,67970,2139.2540000000004,159032.75699999995,3,10,1,40,6,1,0,17,6,4,25,16,2,16,108,20,22
Europe,Albania,59.5736356615,31.0,1067150,8617.605999999994,236122.4409999998,3,1,4,50,10,28,0,7,14,12,30,37,5,3,134,15,20
Europe,Armenia,61.40723638,11.0,1702970,11043.711999999998,314414.54499999963,5,0,12,65,7,34,1,12,2,5,14,76,3,2,152,5,10
